 "publication_type" , "journal_article" , "title" , "publication_year" , "author_name" , "journal_name" , "journal_issue_number" , "journal_volume_number" , "startEndPages" , "publisher_name" , "doi" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/45174" , "An inventory for measuring clinical anxiety: Psychometric properties." , "1988" , "Steer - Robert A." , "Journal of Consulting and Clinical Psychology" , "6" , "56" , "893--897" , "American Psychological Association (APA)" , "10.1037//0022-006x.56.6.893" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/45174" , "An inventory for measuring clinical anxiety: Psychometric properties." , "1988" , "Steer - Robert A." , "Journal of Consulting and Clinical Psychology" , "6" , "56" , "893--897" , "American Psychological Association (APA)" , "https://doi.org/10.1037//0022-006x.56.6.893" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/46047" , "Transformational, transactional, and laissez-faire leadership styles: A meta-analysis comparing women and men." , "2003" , "Eagly - Alice H." , "Psychological Bulletin" , "4" , "129" , "569--591" , "American Psychological Association (APA)" , "10.1037/0033-2909.129.4.569" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/46047" , "Transformational, transactional, and laissez-faire leadership styles: A meta-analysis comparing women and men." , "2003" , "Johannesen-Schmidt - Mary C." , "Psychological Bulletin" , "4" , "129" , "569--591" , "American Psychological Association (APA)" , "10.1037/0033-2909.129.4.569" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/46047" , "Transformational, transactional, and laissez-faire leadership styles: A meta-analysis comparing women and men." , "2003" , "van Engen - Marloes L." , "Psychological Bulletin" , "4" , "129" , "569--591" , "American Psychological Association (APA)" , "10.1037/0033-2909.129.4.569" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/46375" , "Perceived racial discrimination and hypertension: A comprehensive systematic review." , "2014" , "Dolezsar - Cynthia M." , "Health Psychology" , "1" , "33" , "20--34" , "American Psychological Association (APA)" , "10.1037/a0033718" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/46375" , "Perceived racial discrimination and hypertension: A comprehensive systematic review." , "2014" , "McGrath - Jennifer J." , "Health Psychology" , "1" , "33" , "20--34" , "American Psychological Association (APA)" , "10.1037/a0033718" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/46375" , "Perceived racial discrimination and hypertension: A comprehensive systematic review." , "2014" , "Herzig - Alyssa J. M." , "Health Psychology" , "1" , "33" , "20--34" , "American Psychological Association (APA)" , "10.1037/a0033718" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/46375" , "Perceived racial discrimination and hypertension: A comprehensive systematic review." , "2014" , "Miller - Sydney B." , "Health Psychology" , "1" , "33" , "20--34" , "American Psychological Association (APA)" , "10.1037/a0033718" ,
 "Journal Article" , "https://w3id.org/oc/corpus/br/46408" , "Perceived discrimination and health: A meta-analytic review." , "2009" , "Pascoe - Elizabeth A." , "Psychological Bulletin" , "4" , "135" , "531--554" , "American Psychological Association (APA)" , "10.1037/a0016059" ,
